dat,USD,KZT,BYR,UAH,EUR
2003-01,31.7844,0.203925,0.016425,5.9419,33.2719
2003-02,31.8345,0.205576,0.016256,5.94182,34.429
2003-03,31.5729,0.208194,0.015989,5.89454,33.9409
2003-04,31.3801,0.206202,0.015696,5.85471,33.9815
2003-05,31.1021,0.204875,0.015331,5.77205,34.5513
2003-06,30.709,0.204125,0.015008,5.63882,36.4669
2003-07,30.3809,0.205946,0.014715,5.64921,34.7223
2003-08,30.2791,0.206358,0.01457,5.64751,34.3395
2003-09,30.5036,0.206829,0.014517,5.67055,33.2001
2003-10,30.6142,0.205656,0.014479,5.67897,35.6043
2003-11,29.9451,0.202923,0.014038,5.55465,34.7992
2003-12,29.7387,0.202809,0.013843,5.51687,35.5021
2004-01,29.4545,0.20567,0.013575,5.474,37.0979
2004-02,28.4937,0.204323,0.013192,5.27896,35.3635
2004-03,28.5156,0.205098,0.013233,5.2939,35.5076
2004-04,28.5151,0.205346,0.013261,5.2941,34.9082
2004-05,28.9612,0.209668,0.013421,5.40129,34.6289
2004-06,28.9993,0.21172,0.013446,5.43363,35.3907
2004-07,29.0471,0.213679,0.013443,5.443,35.0889
2004-08,29.1019,0.213478,0.013455,5.455,35.0532
2004-09,29.2591,0.214521,0.01352,5.47267,35.3713
2004-10,29.2224,0.217488,0.013457,5.43157,36.0312
2004-11,28.7655,0.217885,0.013208,5.34595,36.6472
2004-12,28.1496,0.216452,0.012896,5.25728,37.3264
2005-01,27.7487,0.213438,0.012749,5.12337,37.8409
2005-02,28.1136,0.216228,0.012916,5.28382,36.5899
2005-03,27.7007,0.212837,0.01281,5.22822,36.72
2005-04,27.8548,0.210235,0.012915,5.32108,36.0274
2005-05,27.7726,0.211391,0.012899,5.46974,36.0072
2005-06,28.1946,0.21324,0.013102,5.55559,34.9134
2005-07,28.6282,0.21209,0.013304,5.67558,34.6258
2005-08,28.6341,0.210728,0.013317,5.6852,34.716
2005-09,28.5566,0.211038,0.013264,5.65612,34.879
2005-10,28.5348,0.213347,0.013256,5.59429,34.3074
2005-11,28.503,0.212574,0.013248,5.54059,34.3946
2005-12,28.7792,0.214631,0.013382,5.66375,33.9393
2006-01,28.7825,0.215337,0.013363,5.67232,34.185
2006-02,28.1305,0.213002,0.013076,5.49284,34.0492
2006-03,28.1211,0.215807,0.013066,5.50315,33.3291
2006-04,27.6996,0.215729,0.012875,5.42258,33.6273
2006-05,27.2739,0.21917,0.012685,5.37279,34.1906
2006-06,26.9355,0.222155,0.01256,5.38301,34.7064
2006-07,26.9423,0.227707,0.012572,5.34824,34.2383
2006-08,26.8197,0.22661,0.012516,5.32,34.2112
2006-09,26.7295,0.213213,0.012478,5.29098,34.318
2006-10,26.7799,0.210492,0.012505,5.29896,33.9783
2006-11,26.7811,0.209511,0.012504,5.28414,33.9852
2006-12,26.3081,0.205628,0.012287,5.20303,34.6899
2007-01,26.3311,0.207609,0.012291,5.21987,34.6965
2007-02,26.5484,0.210323,0.012347,5.23823,34.3802
2007-03,26.1481,0.210008,0.012172,5.16567,34.539
2007-04,26.0113,0.210061,0.012124,5.13966,34.6861
2007-05,25.6851,0.213842,0.011948,5.08233,35.0653
2007-06,25.9043,0.211337,0.012049,5.13709,34.8128
2007-07,25.8162,0.211011,0.012019,5.11465,34.715
2007-08,25.5448,0.206631,0.011892,5.07778,35.0015
2007-09,25.6262,0.202803,0.011914,5.09528,35.0233
2007-10,24.9493,0.206255,0.011601,4.95517,35.3457
2007-11,24.6724,0.204098,0.011457,4.87713,35.6492
2007-12,24.4171,0.20202,0.011325,4.81239,36.0055
2008-01,24.5462,0.203492,0.01139,4.82357,35.9332
2008-02,24.4262,0.203185,0.01135,4.79001,36.29
2008-03,24.0023,0.198601,0.011176,4.70975,36.5099
2008-04,23.5027,0.194725,0.010944,4.66203,37.0873
2008-05,23.6588,0.196499,0.011048,4.73583,36.8959
2008-06,23.7384,0.196848,0.011114,4.93501,36.7827
2008-07,23.4068,0.193826,0.011014,4.96359,36.971
2008-08,23.4186,0.19483,0.011075,5.01576,36.5752
2008-09,24.5769,0.20551,0.011637,5.28535,36.2264
2008-10,25.3718,0.211555,0.012005,5.00529,36.4999
2008-11,27.0981,0.226138,0.012821,4.52767,34.4092
2008-12,27.606,0.229333,0.012888,3.74319,35.7166
2009-01,29.3916,0.242475,0.013354,3.82952,41.4275
2009-02,35.4146,0.290212,0.013006,4.5564,45.6636
2009-03,35.7205,0.237054,0.012529,4.20241,45.3543
2009-04,33.9032,0.224651,0.011946,4.21158,44.8946
2009-05,32.974,0.21861,0.011668,4.06084,43.9939
2009-06,30.9843,0.205889,0.011121,4.05288,43.378
2009-07,31.0385,0.206222,0.010937,4.05732,43.8512
2009-08,31.1533,0.206683,0.010931,3.87961,43.9978
2009-09,31.8397,0.211097,0.011267,3.76578,45.4321
2009-10,30.0087,0.198812,0.010853,3.60898,43.8877
2009-11,29.0488,0.192676,0.010586,3.53392,43.0678
2009-12,29.0687,0.195486,0.010445,3.62679,43.7658
2010-01,30.1851,0.203239,0.01054,3.7497,43.4605
2010-02,30.4312,0.205686,0.010541,3.78969,42.4637
2010-03,29.9484,0.203281,0.010218,3.73328,40.8047
2010-04,29.4956,0.200691,0.009901,3.6999,39.5713
2010-05,29.1537,0.199042,0.009843,3.65885,38.6986
2010-06,30.74,0.209579,0.010243,3.87886,37.8133
2010-07,31.2554,0.211808,0.010353,3.94569,38.2097
2010-08,30.1869,0.204352,0.010143,3.82316,39.4694
2010-09,30.8669,0.209487,0.010245,3.91364,39.0127
2010-10,30.5126,0.206746,0.010134,3.84386,41.4392
2010-11,30.7821,0.20865,0.01022,3.87172,42.7256
2010-12,31.3335,0.212229,0.010334,3.93316,41.0814
2011-01,30.3505,0.205829,0.010114,3.80929,40.4876
2011-02,29.8018,0.20272,0.009894,3.75101,40.5811
2011-03,28.9028,0.197992,0.009561,3.6413,39.8136
2011-04,28.5162,0.195672,0.009362,3.57682,40.3875
2011-05,27.5022,0.188863,0.009125,3.45288,40.8078
2011-06,27.9805,0.192405,0.005621,3.50655,40.2444
2011-07,27.8726,0.191105,0.005614,3.48909,40.4153
2011-08,27.6796,0.189139,0.005591,3.46125,39.5182
2011-09,28.9278,0.197338,0.005675,3.62005,41.7631
2011-10,32.11,0.216864,0.005693,4.01561,43.4191
2011-11,30.1245,0.20384,0.003544,3.76321,42.1833
2011-12,31.4001,0.212572,0.003651,3.91498,41.7559
2012-01,32.1961,0.216874,0.003856,4.00549,41.6714
2012-02,30.3131,0.204039,0.003622,3.7731,39.9678
2012-03,29.0253,0.196475,0.003597,3.63066,39.1029
2012-04,29.3282,0.198371,0.003634,3.65165,39.1707
2012-05,29.3627,0.198712,0.003648,3.65476,38.9203
2012-06,32.9173,0.222347,0.003942,4.07367,40.8076
